"","Country","Happiness score","Logged GDP per capita","Social support","Healthy life expectancy","Freedom to make life choices","Generosity","Perceptions of corruption","continent"
"45","Cyprus",6.15899992,10.40570259,0.805996239,73.70222473,0.779858291,0.043731496,0.856271744,"Asia"
"46","Nicaragua",6.13710022,8.493160248,0.857497036,67.50717926,0.863902867,0.020959141,0.665950119,"Americas"
"47","Romania",6.123700142,10.107584,0.825161517,67.20723724,0.842823207,-0.19781521,0.934300244,"Europe"
"48","Kuwait",6.102099895,11.08982468,0.846475244,66.76764679,0.872366488,-0.100184701,0.760849059,"Asia"
"49","Mauritius",6.101299763,9.956786156,0.910357833,66.40434265,0.889534533,-0.018318573,0.805343091,"Africa"
"50","Kazakhstan",6.057899952,10.11465836,0.934744895,64.60996246,0.811601937,-0.068488635,0.764490843,"Asia"
"51","Estonia",6.021800041,10.34001732,0.934729993,68.60495758,0.87770915,-0.111697771,0.623073816,"Europe"
"52","Philippines",6.006000042,8.993545532,0.846730053,61.92676163,0.915463448,-0.105463006,0.733634114,"Asia"
"53","Hungary",6.000400066,10.24924374,0.921934128,67.60997009,0.718964577,-0.194323018,0.892916501,"Europe"
"54","Thailand",5.998799801,9.741791725,0.889973223,67.25059509,0.905063033,0.268685192,0.886272311,"Asia"
"55","Argentina",5.974699974,9.810955048,0.900567949,68.80380249,0.831132412,-0.194913864,0.842009842,"Americas"
"56","Honduras",5.953199863,8.424534798,0.821870148,67.19876862,0.870603263,0.086969115,0.801131904,"Americas"
"57","Latvia",5.949999809,10.17531967,0.918288589,66.8074646,0.671237648,-0.186888844,0.795580089,"Europe"
"58","Ecuador",5.925199986,9.246058464,0.836418986,68.50003815,0.859828949,-0.127014965,0.801215112,"Americas"
"59","Portugal",5.910900116,10.26374245,0.886590719,72.40202332,0.888747811,-0.220714301,0.892629504,"Europe"
"60","Jamaica",5.889800072,9.006250381,0.915701866,67.09999847,0.858068526,-0.125106767,0.888890028,"Americas"
"61","South Korea",5.872399807,10.51056671,0.799387157,73.6027298,0.612965107,-0.043404032,0.789067447,"Asia"
"62","Japan",5.870800018,10.57968903,0.883545935,75.00096893,0.809961379,-0.246910349,0.654558063,"Asia"
"63","Peru",5.796800137,9.456313133,0.831075251,68.10023499,0.824766099,-0.16238822,0.893714964,"Americas"
"64","Serbia",5.77820015,9.680980682,0.881475747,68.21020508,0.726495862,-0.073676221,0.843509018,"Europe"
"65","Bolivia",5.747499943,8.851115227,0.803108692,63.6004715,0.875873327,-0.09168113,0.822606206,"Americas"
"66","Pakistan",5.69329977,8.482727051,0.689062297,58.25313568,0.734833717,0.04489987,0.745705426,"Asia"
"67","Paraguay",5.692100048,9.389982224,0.898727894,65.63993835,0.885923445,0.007997713,0.834788501,"Americas"
"68","Dominican Republic",5.689199924,9.664880753,0.882085383,65.80748749,0.866202772,-0.131263286,0.755999923,"Americas"
"69","Bosnia and Herzegovina",5.674099922,9.455817223,0.829204142,67.80813599,0.651352704,0.098274559,0.933769107,"Europe"
"70","Moldova",5.607500076,8.776714325,0.843313575,65.01301575,0.721609175,-0.037741039,0.913314283,"Europe"
"71","Tajikistan",5.555699825,8.024810791,0.835297108,64.10459137,0.831383407,-0.025088511,0.592076063,"Asia"
"72","Montenegro",5.54610014,9.751860619,0.855314612,68.50534821,0.649565637,-0.075600356,0.783121586,"Europe"
"73","Russia",5.546000004,10.12887192,0.903150737,64.10045624,0.729892612,-0.151153743,0.864802599,"Europe"
"74","Kyrgyzstan",5.541500092,8.148405075,0.887228489,64.10601044,0.909374893,0.154772058,0.888396084,"Asia"
"75","Belarus",5.539899826,9.779945374,0.90674746,66.10433197,0.639163077,-0.164926544,0.63571167,"Europe"
"76","North Cyprus",5.53550005,10.40570259,0.820356607,73.70222473,0.79529351,0.000227159,0.62611568,"Asia"
"77","Greece",5.514999866,10.13232613,0.814380348,72.40525818,0.541345119,-0.300907373,0.859931409,"Europe"
"78","Hong Kong S.A.R. of China",5.510399818,10.9346714,0.845969081,76.77170563,0.779833794,0.134979904,0.420607209,"Asia"
"79","Croatia",5.504700184,10.07087517,0.874623716,70.21490479,0.714838803,-0.128538325,0.916495264,"Europe"
"80","Libya",5.488800049,9.789815903,0.825942934,62.29999924,0.773157001,-0.085054487,0.668779135,"Africa"
"81","Mongolia",5.456200123,9.412186623,0.937142491,62.30448532,0.693351328,0.098093867,0.863511205,"Asia"
"82","Malaysia",5.384300232,10.26251888,0.816509426,67.10215759,0.894626856,0.114726797,0.839302301,"Asia"
"83","Vietnam",5.353499889,8.809545517,0.849987149,67.9527359,0.939592957,-0.094533332,0.79642123,"Asia"
"84","Indonesia",5.285600185,9.36975193,0.808379889,62.15584946,0.870614409,0.519586504,0.876296401,"Asia"
"85","Ivory Coast",5.233300209,8.225561142,0.658048689,49.50377274,0.727909327,-0.043991156,0.790771961,"Africa"
