Rank,Country,Happiness score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,continent,year,P GDP per capita,P Social support,P Healthy life expectancy,P Freedom to make life choices,P Generosity,P Perceptions of corruption,SUMOFp
105,South Africa,4.724,0.94,1.41,0.33,0.516,0.103,0.056,Africa,2018,0.20 ,0.30 ,0.07 ,0.11 ,0.02 ,0.01 ,0.71 
106,Iran,4.707,1.059,0.771,0.691,0.459,0.282,0.129,Asia,2018,0.22 ,0.16 ,0.15 ,0.10 ,0.06 ,0.03 ,0.72 
107,Ivory Coast,4.671,0.541,0.872,0.08,0.467,0.146,0.103,Africa,2018,0.12 ,0.19 ,0.02 ,0.10 ,0.03 ,0.02 ,0.47 
108,Ghana,4.657,0.592,0.896,0.337,0.499,0.212,0.029,Africa,2018,0.13 ,0.19 ,0.07 ,0.11 ,0.05 ,0.01 ,0.55 
109,Senegal,4.631,0.429,1.117,0.433,0.406,0.138,0.082,Africa,2018,0.09 ,0.24 ,0.09 ,0.09 ,0.03 ,0.02 ,0.56 
110,Laos,4.623,0.72,1.034,0.441,0.626,0.23,0.174,Asia,2018,0.16 ,0.22 ,0.10 ,0.14 ,0.05 ,0.04 ,0.70 
111,Tunisia,4.592,0.9,0.906,0.69,0.271,0.04,0.063,Africa,2018,0.20 ,0.20 ,0.15 ,0.06 ,0.01 ,0.01 ,0.63 
112,Albania,4.586,0.916,0.817,0.79,0.419,0.149,0.032,Europe,2018,0.20 ,0.18 ,0.17 ,0.09 ,0.03 ,0.01 ,0.68 
113,Sierra Leone,4.571,0.256,0.813,0,0.355,0.238,0.053,Africa,2018,0.06 ,0.18 ,0.00 ,0.08 ,0.05 ,0.01 ,0.38 
114,Congo (Brazzaville),4.559,0.682,0.811,0.343,0.514,0.091,0.077,Africa,2018,0.15 ,0.18 ,0.08 ,0.11 ,0.02 ,0.02 ,0.55 
115,Bangladesh,4.5,0.532,0.85,0.579,0.58,0.153,0.144,Asia,2018,0.12 ,0.19 ,0.13 ,0.13 ,0.03 ,0.03 ,0.63 
116,Sri Lanka,4.471,0.918,1.314,0.672,0.585,0.307,0.05,Asia,2018,0.21 ,0.29 ,0.15 ,0.13 ,0.07 ,0.01 ,0.86 
117,Iraq,4.456,1.01,0.971,0.536,0.304,0.148,0.095,Asia,2018,0.23 ,0.22 ,0.12 ,0.07 ,0.03 ,0.02 ,0.69 
118,Mali,4.447,0.37,1.233,0.152,0.367,0.139,0.056,Africa,2018,0.08 ,0.28 ,0.03 ,0.08 ,0.03 ,0.01 ,0.52 
119,Namibia,4.441,0.874,1.281,0.365,0.519,0.051,0.064,Africa,2018,0.20 ,0.29 ,0.08 ,0.12 ,0.01 ,0.01 ,0.71 
120,Cambodia,4.433,0.549,1.088,0.457,0.696,0.256,0.065,Asia,2018,0.12 ,0.25 ,0.10 ,0.16 ,0.06 ,0.01 ,0.70 
121,Burkina Faso,4.424,0.314,1.097,0.254,0.312,0.175,0.128,Africa,2018,0.07 ,0.25 ,0.06 ,0.07 ,0.04 ,0.03 ,0.52 
122,Egypt,4.419,0.885,1.025,0.553,0.312,0.092,0.107,Africa,2018,0.20 ,0.23 ,0.13 ,0.07 ,0.02 ,0.02 ,0.67 
123,Mozambique,4.417,0.198,0.902,0.173,0.531,0.206,0.158,Africa,2018,0.04 ,0.20 ,0.04 ,0.12 ,0.05 ,0.04 ,0.49 
124,Kenya,4.41,0.493,1.048,0.454,0.504,0.352,0.055,Africa,2018,0.11 ,0.24 ,0.10 ,0.11 ,0.08 ,0.01 ,0.66 
125,Zambia,4.377,0.562,1.047,0.295,0.503,0.221,0.082,Africa,2018,0.13 ,0.24 ,0.07 ,0.11 ,0.05 ,0.02 ,0.62 
