"","Country","Happiness score","GDP per capita","Social support","Healthy life expectancy","Freedom to make life choices","Generosity","Perceptions of corruption","continent"
"109","Albania",4.644,0.996,0.804,0.731,0.381,0.201,0.04,"Europe"
"110","Bangladesh",4.608,0.587,0.735,0.533,0.478,0.172,0.124,"Asia"
"111","Namibia",4.574,0.964,1.098,0.339,0.52,0.077,0.093,"Africa"
"112","Kenya",4.553,0.56,1.068,0.31,0.453,0.445,0.065,"Africa"
"113","Mozambique",4.55,0.234,0.871,0.107,0.481,0.322,0.179,"Africa"
"114","Myanmar",4.545,0.367,1.123,0.398,0.514,0.838,0.189,"Asia"
"115","Senegal",4.535,0.479,1.18,0.409,0.378,0.183,0.115,"Africa"
"116","Zambia",4.514,0.636,1.003,0.258,0.462,0.25,0.078,"Africa"
"117","Iraq",4.497,1.103,0.979,0.501,0.289,0.2,0.107,"Asia"
"118","Gabon",4.465,1.198,1.156,0.357,0.312,0.044,0.076,"Africa"
"119","Ethiopia",4.46,0.339,0.865,0.353,0.409,0.313,0.165,"Africa"
"120","Sri Lanka",4.44,1.01,1.26,0.625,0.561,0.491,0.074,"Asia"
"121","Armenia",4.376,0.901,1.007,0.638,0.198,0.083,0.027,"Asia"
"122","India",4.315,0.792,0.754,0.455,0.47,0.232,0.092,"Asia"
"123","Mauritania",4.292,0.648,1.272,0.285,0.096,0.202,0.137,"Africa"
"124","Congo (Brazzaville)",4.291,0.809,0.832,0.29,0.435,0.121,0.08,"Africa"
"125","Georgia",4.286,0.951,0.571,0.65,0.309,0.054,0.252,"Asia"
"126","Congo (Kinshasa)",4.28,0.092,1.229,0.191,0.236,0.246,0.06,"Africa"
"127","Mali",4.19,0.476,1.281,0.169,0.307,0.183,0.105,"Africa"
"128","Ivory Coast",4.18,0.603,0.905,0.049,0.448,0.201,0.13,"Africa"
"129","Cambodia",4.168,0.602,1.006,0.43,0.633,0.386,0.068,"Asia"
"130","Sudan",4.139,0.66,1.214,0.291,0.015,0.182,0.09,"Africa"
"131","Ghana",4.12,0.667,0.874,0.296,0.423,0.257,0.025,"Africa"
"132","Ukraine",4.096,0.895,1.395,0.576,0.123,0.27,0.023,"Europe"
"133","Uganda",4.081,0.381,1.13,0.218,0.443,0.326,0.057,"Africa"
"134","Burkina Faso",4.032,0.35,1.043,0.216,0.324,0.251,0.12,"Africa"
"135","Niger",4.028,0.162,0.993,0.269,0.364,0.229,0.139,"Africa"
"136","Malawi",3.97,0.233,0.513,0.315,0.467,0.287,0.073,"Africa"
"137","Chad",3.936,0.438,0.954,0.041,0.162,0.216,0.054,"Africa"
"138","Zimbabwe",3.875,0.376,1.083,0.197,0.336,0.189,0.095,"Africa"
"139","Lesotho",3.808,0.521,1.19,0,0.391,0.157,0.119,"Africa"
"140","Angola",3.795,0.858,1.104,0.05,0,0.098,0.07,"Africa"
"141","Afghanistan",3.794,0.401,0.582,0.181,0.106,0.312,0.061,"Asia"
"142","Botswana",3.766,1.122,1.222,0.342,0.505,0.099,0.099,"Africa"
"143","Benin",3.657,0.431,0.435,0.21,0.426,0.208,0.061,"Africa"
"144","Madagascar",3.644,0.306,0.913,0.375,0.189,0.209,0.067,"Africa"
"145","Haiti",3.603,0.369,0.64,0.277,0.03,0.489,0.1,"Americas"
"146","Yemen",3.593,0.592,0.935,0.31,0.249,0.104,0.057,"Asia"
"147","South Sudan",3.591,0.397,0.601,0.163,0.147,0.286,0.117,"Africa"
"148","Liberia",3.533,0.119,0.872,0.23,0.333,0.267,0.039,"Africa"
"149","Guinea",3.507,0.245,0.791,0.194,0.349,0.265,0.111,"Africa"
"150","Togo",3.495,0.305,0.432,0.247,0.38,0.197,0.096,"Africa"
"151","Rwanda",3.471,0.369,0.946,0.326,0.582,0.253,0.455,"Africa"
"152","Syria",3.462,0.777,0.396,0.501,0.082,0.494,0.151,"Asia"
"153","Tanzania",3.349,0.511,1.042,0.365,0.39,0.354,0.066,"Africa"
"154","Burundi",2.905,0.092,0.63,0.152,0.06,0.204,0.084,"Africa"
"155","Central African Republic",2.693,0,0,0.019,0.271,0.281,0.057,"Africa"
